ID,MAE,RMSE,PI95,PI90,PI85,PI80,PI75,PI70,PI65,PI60,PI55,PI50
Temperature_sensor,,,,,,,,,,,,
007A_temperature_sensor,0.6354287867636457,0.8164436262837903,0.6597222222222222,0.5739087301587301,0.5198412698412699,0.4722222222222222,0.43154761904761907,0.39186507936507936,0.35168650793650796,0.31994047619047616,0.2857142857142857,0.2564484126984127
011A_temperature_sensor,0.582602978029762,0.7102435868785768,0.908234126984127,0.8219246031746031,0.7554563492063492,0.6770833333333334,0.6235119047619048,0.5744047619047619,0.5248015873015873,0.47668650793650796,0.42658730158730157,0.3814484126984127
012A_temperature_sensor,0.1378887413539981,0.17891058421466793,0.996031746031746,0.9880952380952381,0.9806547619047619,0.9732142857142857,0.9608134920634921,0.9434523809523809,0.9166666666666666,0.8814484126984127,0.8467261904761905,0.8080357142857143
013A_temperature_sensor,0.43589669092391287,0.62318924598898,0.9563492063492064,0.9325396825396826,0.9151785714285714,0.9002976190476191,0.8864087301587301,0.8690476190476191,0.845734126984127,0.8174603174603174,0.7822420634920635,0.7490079365079365
015A_temperature_sensor,0.28708579252162775,0.35532209514265295,0.7996031746031746,0.6999007936507936,0.6517857142857143,0.6076388888888888,0.5689484126984127,0.527281746031746,0.4905753968253968,0.45287698412698413,0.41021825396825395,0.36607142857142855
020A_temperature_sensor,0.3043020110083635,0.41645423007133403,0.8635912698412699,0.8025793650793651,0.7614087301587301,0.7281746031746031,0.6959325396825397,0.6626984126984127,0.6369047619047619,0.6091269841269841,0.5734126984126984,0.5317460317460317
020B_temperature_sensor,0.39522117639951954,0.4523176036719584,0.9503968253968254,0.8963293650793651,0.8343253968253969,0.7579365079365079,0.6805555555555556,0.5848214285714286,0.5029761904761905,0.43353174603174605,0.3680555555555556,0.3179563492063492
029A_temperature_sensor,0.473340554505139,0.5377005404524128,0.9479166666666666,0.8893849206349206,0.8303571428571429,0.7703373015873016,0.689484126984127,0.6026785714285714,0.5282738095238095,0.4469246031746032,0.3695436507936508,0.3005952380952381
031A_temperature_sensor,0.29261690371102805,0.36322333932297507,0.8973214285714286,0.8387896825396826,0.7688492063492064,0.6989087301587301,0.6309523809523809,0.5694444444444444,0.5148809523809523,0.47271825396825395,0.42658730158730157,0.3759920634920635
033A_temperature_sensor,0.3548684000456301,0.4358733361517712,0.9662698412698413,0.9300595238095238,0.8804563492063492,0.8313492063492064,0.7733134920634921,0.7222222222222222,0.6741071428571429,0.6215277777777778,0.5520833333333334,0.48412698412698413
035A_temperature_sensor,0.464682305322978,0.6181336915479696,0.8874007936507936,0.839781746031746,0.7837301587301587,0.7306547619047619,0.6746031746031746,0.628968253968254,0.5818452380952381,0.5376984126984127,0.5034722222222222,0.46279761904761907
CO2_sensor,,,,,,,,,,,,
007A_co2_sensor,10.883318821635644,20.08151212266747,0.9732142857142857,0.964781746031746,0.9513888888888888,0.941468253968254,0.9270833333333334,0.9166666666666666,0.9037698412698413,0.8878968253968254,0.8695436507936508,0.8531746031746031
011A_co2_sensor,23.638485855886653,56.75711093233837,0.9985119047619048,0.9955357142857143,0.9945436507936508,0.9925595238095238,0.9915674603174603,0.9910714285714286,0.9895833333333334,0.9861111111111112,0.9826388888888888,0.9781746031746031
012A_co2_sensor,18.477019321724764,28.426668862313136,0.9499007936507936,0.8700396825396826,0.78125,0.7217261904761905,0.65625,0.59375,0.5327380952380952,0.47966269841269843,0.4310515873015873,0.3814484126984127
013A_co2_sensor,26.651069729892612,65.28285640211699,0.9781746031746031,0.972718253968254,0.9642857142857143,0.9583333333333334,0.9538690476190477,0.9469246031746031,0.9345238095238095,0.9196428571428571,0.8948412698412699,0.8630952380952381
015A_co2_sensor,20.6193595898061,23.433639365886986,0.3576388888888889,0.30952380952380953,0.2708333333333333,0.2371031746031746,0.2088293650793651,0.17708333333333334,0.14781746031746032,0.12251984126984126,0.10466269841269842,0.08630952380952381
020A_co2_sensor,35.13446179648906,63.27553254349823,0.8869047619047619,0.8521825396825397,0.8273809523809523,0.8100198412698413,0.7956349206349206,0.7857142857142857,0.7723214285714286,0.7589285714285714,0.7395833333333334,0.7266865079365079
020B_co2_sensor,23.943551863648967,44.385781732548885,0.8779761904761905,0.8487103174603174,0.8293650793650794,0.8194444444444444,0.8075396825396826,0.7976190476190477,0.7872023809523809,0.7762896825396826,0.7628968253968254,0.7514880952380952
029A_co2_sensor,9.944314199498288,27.313339700595254,0.9985119047619048,0.9985119047619048,0.9985119047619048,0.9985119047619048,0.9985119047619048,0.9975198412698413,0.9920634920634921,0.9742063492063492,0.9474206349206349,0.9012896825396826
031A_co2_sensor,32.55183740194888,72.257747603861,0.9702380952380952,0.9598214285714286,0.9513888888888888,0.9360119047619048,0.9176587301587301,0.9047619047619048,0.8888888888888888,0.8735119047619048,0.8591269841269841,0.8452380952380952
033A_co2_sensor,19.737287265727055,40.91100630330516,0.9965277777777778,0.9935515873015873,0.9866071428571429,0.9722222222222222,0.9573412698412699,0.9449404761904762,0.9171626984126984,0.8735119047619048,0.8120039682539683,0.7311507936507936
035A_co2_sensor,135.55421006262046,181.59395364449583,0.7375992063492064,0.6865079365079365,0.6195436507936508,0.5515873015873016,0.5133928571428571,0.47867063492063494,0.4479166666666667,0.41369047619047616,0.38492063492063494,0.35119047619047616
Valve_Position_sensor,,,,,,,,,,,,
007A_valve_position_sensor,0.016095042631920537,0.04243879033494961,0.4677579365079365,0.4677579365079365,0.4677579365079365,0.4677579365079365,0.4677579365079365,0.4677579365079365,0.4677579365079365,0.4677579365079365,0.4677579365079365,0.4677579365079365
011A_valve_position_sensor,0.12362388265648087,0.2519575696829078,0.8234126984126984,0.808531746031746,0.7981150793650794,0.7847222222222222,0.7777777777777778,0.7673611111111112,0.7628968253968254,0.7584325396825397,0.753968253968254,0.7465277777777778
012A_valve_position_sensor,0.0043068960302538066,0.028170487514829513,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413
013A_valve_position_sensor,0.12088787039169949,0.2597518461316685,0.785218253968254,0.7802579365079365,0.7723214285714286,0.7683531746031746,0.7633928571428571,0.7574404761904762,0.751984126984127,0.7470238095238095,0.7445436507936508,0.7410714285714286
015A_valve_position_sensor,0.12872088305155943,0.2107158196972955,0.8670634920634921,0.8095238095238095,0.7678571428571429,0.7361111111111112,0.7098214285714286,0.683531746031746,0.6612103174603174,0.6413690476190477,0.6180555555555556,0.589781746031746
020A_valve_position_sensor,0.008503694020943956,0.04356416247876538,0.9533730158730159,0.9513888888888888,0.9513888888888888,0.9513888888888888,0.9503968253968254,0.9474206349206349,0.9340277777777778,0.9176587301587301,0.9072420634920635,0.9047619047619048
020B_valve_position_sensor,0.10754047483328918,0.1523431294474134,0.9578373015873016,0.9330357142857143,0.910218253968254,0.8913690476190477,0.8764880952380952,0.8447420634920635,0.7837301587301587,0.6572420634920635,0.5620039682539683,0.5114087301587301
029A_valve_position_sensor,0.025388842941588705,0.09078136675475225,0.9796626984126984,0.9781746031746031,0.9751984126984127,0.9717261904761905,0.9702380952380952,0.9677579365079365,0.9632936507936508,0.9623015873015873,0.9598214285714286,0.9563492063492064
031A_valve_position_sensor,0.001006881218705919,0.002145573656898483,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206,0.5456349206349206
033A_valve_position_sensor,0.03568004652587983,0.10758428839978715,0.9474206349206349,0.941468253968254,0.9365079365079365,0.9325396825396826,0.9300595238095238,0.9255952380952381,0.9211309523809523,0.9176587301587301,0.9156746031746031,0.9141865079365079
035A_valve_position_sensor,0.08155157444871525,0.17779662805959623,0.9548611111111112,0.9399801587301587,0.9325396825396826,0.9250992063492064,0.9186507936507936,0.9087301587301587,0.8993055555555556,0.8898809523809523,0.8764880952380952,0.8611111111111112
Damper_Position_sensor,,,,,,,,,,,,
007A_damper_position_sensor,0.0036830022043439128,0.013441789707749714,0.998015873015873,0.998015873015873,0.998015873015873,0.998015873015873,0.998015873015873,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9975198412698413,0.9965277777777778
011A_damper_position_sensor,0.011529314953158835,0.0530105231950344,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9771825396825397,0.9761904761904762,0.972718253968254
012A_damper_position_sensor,0.0009434709392229871,0.0063950954023954745,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683
013A_damper_position_sensor,0.024232793194303118,0.07746518596624513,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9399801587301587,0.9389880952380952
015A_damper_position_sensor,0.0020992293118270665,0.022047991197061988,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683,0.9995039682539683
020A_damper_position_sensor,0.08966921138992938,0.16164642003941576,0.970734126984127,0.8253968253968254,0.7490079365079365,0.7435515873015873,0.7425595238095238,0.7425595238095238,0.7425595238095238,0.7425595238095238,0.7420634920634921,0.7420634920634921
020B_damper_position_sensor,0.10112567183946865,0.17294600499818355,0.6716269841269841,0.6716269841269841,0.6716269841269841,0.6716269841269841,0.6716269841269841,0.6716269841269841,0.6716269841269841,0.6716269841269841,0.6716269841269841,0.6716269841269841
029A_damper_position_sensor,0.08174683778538414,0.1545146417748297,0.7385912698412699,0.7385912698412699,0.7385912698412699,0.7385912698412699,0.7385912698412699,0.7385912698412699,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381
031A_damper_position_sensor,0.08538455298641487,0.145793716541897,0.910218253968254,0.8055555555555556,0.7872023809523809,0.7802579365079365,0.7703373015873016,0.7599206349206349,0.746031746031746,0.7356150793650794,0.720734126984127,0.7093253968253969
033A_damper_position_sensor,0.009215688407958177,0.04060628871553523,0.9856150793650794,0.9856150793650794,0.9856150793650794,0.9856150793650794,0.9856150793650794,0.9846230158730159,0.9846230158730159,0.9846230158730159,0.9841269841269841,0.9841269841269841
035A_damper_position_sensor,0.07472752384604242,0.1636776178836333,0.7926587301587301,0.7921626984126984,0.7921626984126984,0.7921626984126984,0.7921626984126984,0.7916666666666666,0.7916666666666666,0.7911706349206349,0.7911706349206349,0.7911706349206349
